,Sampler_train,Sampler_eval,To_train,To_eval,Training,Training_eval
0.5%,1.2610169649124143,32.073978730042775,1.7656326373418167,209.30024820566177,8.36409789721171,21.669506621360778
1%,1.1436460018157961,30.051653854052226,1.6717814167340594,190.6324201742808,8.329300622145334,21.65367005666097
3%,1.8136755744616198,28.472813987731932,1.5044353485107425,171.3729897737503,8.850487931569418,21.639013258616128
6%,2.9790345430374154,24.852413054307302,1.2860880732536313,143.44794981479646,9.613414196173352,20.378464718659718
9%,5.340765217940012,29.966065057118733,1.4470302303632099,191.30904153585433,10.433875783284504,20.482955638567606
