,Sampler_train,Sampler_eval,To_train,To_eval,Training,Training_eval
0.01%,6.897071679433188,13.738161626409312,5.568431146939595,74.95947710021598,8.210637203852334,14.357037684956534
0.05%,11.337361967563627,14.142521342293161,4.148268274466196,70.87001668820616,6.962852148214974,14.374393455317763
0.1%,8.617767365773519,11.183177064676753,3.044616583983104,58.461472280689925,6.486130364735919,11.221144863816559
0.5%,11.210160199801123,13.13781614772609,2.0239232977231354,85.20516818077837,4.554457008838655,13.754125806151844
1%,12.283665068944295,13.095480027745982,1.3952819943428034,85.55948454825605,3.6158145904541006,15.135683466176518
