,Sampler_train,Sampler_eval,To_train,To_eval,Training,Training_eval
0.5%,1.3260216871897381,22.479353777567546,1.8318546652793883,133.89831995169322,4.310584970315297,13.025718677043916
1%,0.929892166455587,18.251447757085163,1.4077690203984579,102.10352388620376,4.144814693927764,12.123530598481496
3%,2.01599987745285,23.855149165789285,1.6677987019220986,138.24612615505853,4.3610403815905245,13.678596035639446
6%,5.595228310426077,24.217709072430928,1.5650340835253407,135.4789868036906,4.795780618985495,13.25385973850886
9%,7.152256719271343,24.323310911655426,1.5471373438835148,133.91829015811285,5.097492055098215,13.186459974447887
