,Sampler_train,Sampler_eval,To_train,To_eval,Training,Training_eval
0.01%,0.6218579729398092,15.239627214272817,0.013051788012186686,107.57479388316473,0.20583940347035726,12.066120592753093
0.05%,1.550662060578664,15.231028930346172,0.02955472469329834,107.7665432771047,0.2935204823811849,11.659709366162618
0.1%,2.3209637641906737,14.593110724290211,0.044703757762908934,104.3623922030131,0.41636207898457844,11.726313006877898
0.5%,7.771800498167674,14.420839651425679,0.1992909034093221,106.37173801660538,2.2867995738983153,11.650193405151366
1%,11.29257934888204,12.670658123493194,0.3980547626813253,102.1647712945938,4.229924317200979,11.490651905536652
